"Inspectorblue","Inspectorbrown","Inspectorgreen","Inspectororange","Inspectorpurple","Inspectoryellow","pastSerious","pastCritical","timeSinceLast","ageAtInspection","consumption_on_premises_incidental_activity","tobacco_retail_over_counter","temperatureMax","heat_burglary","heat_sanitation","heat_garbage"
0,0,1,0,0,0,0,0,2,1,0,1,53.4966666666667,26.992375861633,37.7487871679325,12.768572449358
1,0,0,0,0,0,0,0,2,1,0,0,59.0466666666667,13.9765565316342,15.4122673220701,12.8954850116429
1,0,0,0,0,0,0,0,2,1,0,0,59.0466666666667,12.6112394752536,8.32032973816875,8.00421994799309
1,0,0,0,0,0,0,0,2,1,0,0,56.1533333333333,35.9063829969448,38.1866184578784,26.2386445419564
1,0,0,0,0,0,0,0,2,1,0,0,52.73,9.53078543793244,2.12678750467422,3.4015669077145
0,0,0,1,0,0,0,0,2,1,0,0,79.2166666666667,35.111992881054,12.3507792947941,32.2195191307183
0,0,0,1,0,0,0,0,2,0,0,0,79.2166666666667,7.07818305151245,14.6150996373221,34.7484769504156
0,0,0,1,0,0,0,0,2,1,0,0,79.2166666666667,12.5796493524717,11.5097507262398,15.1103850236092
0,0,0,1,0,0,0,0,2,1,0,0,73.4966666666667,12.5358864312334,19.9384224049151,37.9664185608195
0,0,0,1,0,0,0,0,2,0,0,0,73.4966666666667,13.627468306616,25.0304628138493,41.0599021615441
0,0,0,1,0,0,0,0,2,0,0,0,73.4966666666667,8.78850926975704,17.7334909670926,50
0,0,0,1,0,0,0,0,2,1,0,0,70.0733333333333,3.65682501475245,16.6045560886116,24.6895335736263
0,0,0,1,0,0,0,0,2,1,0,0,68.5033333333333,6.46385820827645,13.5769176559805,28.2791369746806
0,0,0,1,0,0,0,0,2,1,0,0,61.8333333333333,7.97684942782672,16.4522406407727,33.1387196763258
0,0,0,1,0,0,0,0,2,1,0,1,61.8333333333333,19.3663721792961,8.81328236327455,26.9053904124676
0,0,0,1,0,0,0,0,2,1,0,0,61.8333333333333,21.6486869615627,12.9911471232464,30.4097376007606
0,0,0,1,0,0,0,0,2,1,0,0,61.8333333333333,18.6777252064837,13.7693199823892,32.5510573106503
0,0,0,1,0,0,0,0,2,1,0,0,61.5866666666667,6.83515836377396,21.009237128683,30.1932839924663
0,0,0,1,0,0,0,0,2,1,0,0,61.5866666666667,3.06752005793157,4.00343820452785,3.62822365420483
0,0,0,1,0,0,0,0,2,1,0,0,60.7166666666667,5.76390132690036,7.5299752702217,40.3628590924447
0,0,0,1,0,0,0,0,2,1,0,1,56.8966666666667,3.1553277388371,5.60756363521151,10.5986689210497
0,0,0,1,0,0,0,0,2,1,0,0,59.8666666666667,2.90954865515913,9.20015833883656,13.6976953131265
0,0,0,1,0,0,0,0,2,1,0,0,59.8666666666667,17.7481427555004,0.145540248899935,18.9763013703312
0,0,0,1,0,0,0,0,2,1,1,0,69.1766666666667,1.77515876433362,1.2254988273038,0.82726932882798
0,0,0,1,0,0,0,0,2,1,1,0,69.1766666666667,1.77515876433362,1.2254988273038,0.82726932882798
0,0,0,1,0,0,0,0,2,1,0,0,69.1766666666667,1.77515876433362,1.2254988273038,0.82726932882798
0,0,0,1,0,0,0,0,2,1,0,0,69.1766666666667,1.77515876433362,1.2254988273038,0.82726932882798
0,0,0,1,0,0,0,0,2,0,1,0,73.1666666666667,12.5814685620823,1.63519937424133,5.35620001173836
0,0,0,1,0,0,0,0,2,1,0,1,73.1666666666667,1.56035730666226,10.5290349670172,10.0608524274926
0,0,0,1,0,0,0,0,2,0,0,0,73.1666666666667,1.31151722914713,7.31149774528336,5.36455358407285
0,0,0,1,0,0,0,0,2,0,0,0,69.67,33.0363566618523,22.1219371306583,47.051815086564
0,0,0,1,0,0,0,0,2,1,0,1,69.67,12.1741482640543,5.55417122497707,8.89598732556056
0,0,0,1,0,0,0,0,2,1,0,1,59.9666666666667,4.58792666082725,9.88184744167265,8.03015601580384
0,0,0,1,0,0,0,0,2,1,0,1,59.9666666666667,6.93810833115359,6.08725195328132,6.96191016815333
0,0,0,1,0,0,0,0,2,1,0,0,59.9666666666667,5.80837146051251,6.93221279954774,4.64379122359179
0,0,0,1,0,0,0,0,2,1,0,0,52.73,10.0045063466146,10.0112949348823,18.2675931299512
0,0,0,1,0,0,0,0,2,0,0,0,52.73,19.7309339538087,18.8857282116747,37.3063927708895
0,0,0,1,0,0,0,0,2,1,0,1,52.73,8.05301713891439,23.3169543354991,14.9687717839127
0,0,0,1,0,0,0,0,2,1,0,0,49.2533333333333,22.8226381858844,11.6145159247777,16.2423086599593
0,0,0,1,0,0,0,0,2,1,0,0,62.49,34.0570001277147,10.4823789987011,24.9213506463553
0,0,0,1,0,0,0,0,2,1,0,1,62.49,4.54367289519681,3.10626484647293,15.7610714142716
0,0,0,1,0,0,0,0,2,1,0,0,65.9466666666667,17.0387157980092,8.58352203437423,38.4955140998667
0,0,0,1,0,0,0,0,2,1,0,0,65.9466666666667,17.0984296472969,28.9523230961378,29.6972395936833
0,0,0,1,0,0,0,0,2,1,0,0,65.9466666666667,8.30680547575395,16.636762363751,30.2747091987077
0,0,0,1,0,0,0,0,2,0,0,0,65.9466666666667,8.92789620968679,10.6178090575703,18.5656213977848
0,0,0,1,0,0,0,0,2,1,0,0,65.9466666666667,16.288083435288,16.827767984067,38.8064281949083
